frase;label
 E nós, enquanto Parlamentares nesta Casa, precisamos olhar para isso e entender quais são os contornos e as políticas públicas relacionadas à saúde, ao meio ambiente, ao abastecimento, ao acesso à energia elétrica que nós precisamos tomar. É preciso que haja planejamento. É preciso que haja prevenção. É preciso que haja respostas do poder público para lidar com essas tragédias que são anunciadas e que levam centenas de vidas — levaram nas enchentes, levaram agora, no calor, e vão seguir levando. ;0
As bandas de forró modernas estão reinventando o gênero musical.;0
Eu registro aqui todo o meu apoio ao Nikolas.;0
Estou planejando fazer um curso online para aprimorar minhas habilidades.;0
Sua postagem levanta alguns pontos interessantes, mas não estou totalmente de acordo.;0
O crime organizado no Brasil não odeia o Ministro da Justiça Flávio Dino.;0
Você joga bem para uma menina.;1
Já não bastou, em novembro de 2021, vários Deputados, inclusive que estão aqui, fazerem um protesto para que o Reino Unido não decretasse como grupo terrorista o Hamas?;1
 É de causar espanto, se não fosse o usual nesta Casa, a Esquerda sempre se posicionar contra o desenvolvimento do País e contra o pleno emprego. ;0
Ela é uma chefinha, mas quem manda de verdade é o homem.;1
 Outros serviços essenciais para a população foram afetados pela falta de luz. Hospitais e aeroportos registraram problemas. A comunicação, por sua vez, também ficou comprometida. ;0
Eu volto a pergunta para vocês que estão assistindo à sessão: vocês acham que a sociedade ficará mais segura ou mais insegura caso todos os traficantes de drogas sejam postos em liberdade?;0
Preciso atualizar meu currículo, estou considerando procurar um novo emprego.;0
 Quando o DOI-CODI criava inquéritos ilegais para levar pessoas ao cárcere na fase inquisitorial, antes mesmo da instauração do processo, a defesa também era a democracia, e muitos dos que estão aí do outro lado do plenário vociferam sobre como foi terrível, sobre como foi catastrófico romper direitos e garantias individuais. ;0
Velhos são sempre teimosos.;1
O Dino, nosso Ministro da Justiça, mais uma vez, falta à Comissão de Segurança Pública e Combate ao Crime Organizado, por temer Deputados armados.;0
Eu já sei que ele não está escutando vocês, motoristas de Uber, pessoal do IFood.;0
Você seria mais bonito se perdesse peso.;1
Seu cabelo afro não é profissional.;1
Homens de verdade não agem assim.;1
Volta para sua terra de merda;1
As festas juninas no Nordeste são eventos imperdíveis, cheios de tradição.;0
A ânsia da maioria das mulheres deste País, até porque nem todo mundo fica à vontade ao bater uma foto, quando há um trans no meio, para dizer que aquela foto é só de mulheres.;1
É o que consta no portal Metrópoles.;0
Isso é tão autista.;1
Atenção, bancada feminina! Aproveito a presença aqui da Exma. Deputada Jandira Feghali.;0
Por isso, na próxima sexta-feira, nós vamos fazer uma grande diligência, coordenada pelo nosso mandato e aprovada pela Comissão de Desenvolvimento Urbano desta Casa, nas dependências da ViaMobilidade e no sistema ferroviário metropolitano de São Paulo.;0
" É impressionante como não somos mais humanos para os nossos opositores políticos. Eu nunca desejei a morte do Lula. Eu nunca desejei a morte, nem vou desejar, de nenhum Ministro do STF, mas eu sei que o contrário não é verdade. Eu sei que há pessoas aqui dentro que, por conta de um lamaçal ideológico, não podem dar um passo atrás e dizer que eu estou correto, que tenho razão em minhas falas. Mas eu acredito que a verdade tem o potencial de alcançar, talvez, a vida de você que está me escutando agora, que pode dizer: ""Não, realmente, muitas vezes o que esse menino diz é um pouco excessivo, é firme demais, mas eu vejo verdade no que ele está dizendo agora"". ";0
"O seu colega também de esquerda que já presidiu a Internacional Socialista, inclusive hoje é Secretário-Geral da ONU, António Guterres, o português, falou: ""É importante também reconhecer que os ataques do Hamas não aconteceram em um vácuo. O povo palestino foi submetido a 56 anos de ocupação sufocante. Eles viram a sua terra ser constantemente devorada por assentamentos, atormentada pela violência, sua economia sufocar e etc.""";0
Ele, de fato, é um Ministro da Justiça que em nada combate o crime organizado.;0
 O SR. GUILHERME BOULOS (Bloco/PSOL - SP) - Vou concluir, Presidente. ;0
Viagem incrível! Adorei acompanhar suas aventuras.;0
 Ele estava com o relatório pronto muito antes de sábado passado, mas não pôde subir o relatório porque não houve a designação. ;0
Você tem uma perspectiva interessante sobre reforma agrária, nunca tinha pensado dessa forma.;0
A outra coisa, general, que eu tenho que lhe dizer é a seguinte: um general não age sozinho.;0
A postura do Deputado Almeida sobre a tributação é contraproducente para o desenvolvimento econômico.;0
A Deputada Mendes está sendo muito passiva em relação às questões de igualdade de gênero.;0
Cuidar de cabelo crespo é uma arte, e você domina isso!;0
Temos que reduzir a maioridade penal para 12 anos de idade.;0
Esse comentário me pareceu um pouco precipitado. Talvez valha a pena reconsiderar.;0
"Eu me recordo de um vídeo que eu fiz: ""Quando você for roubado, faz o 'L'"".";0
É raro encontrar um negro educado.;1
 Segundo o art. 39, item 4, o Ministro do STF, por conta de negligência jurídica, pode, sim, incorrer em crime de responsabilidade. Ou seja, é necessário que um homem como o Ministro Alexandre de Moraes, que envergonha o direito, seja deposto da sua cadeira, de forma democrática, e que o Senado, de forma democrática, também exerça o seu papel. ;0
Sua abordagem sobre economia solidária é inovadora, gostei de ler suas ideias.;0
Ele é muito inteligente para ser negro.;1
 Um processo midiático em que a Justiça deu lugar a um show, a um recado que um ditador pretende dar aos brasileiros: tenham medo, se encolham. ;0
O que aconteceu, pessoal de esquerda?;0
Isso é tão gay.;1
Com o intuito de ter um lucro mais fácil e mais rápido, esta empresa tem colocado em risco a vida de milhões de pessoas, de paulistanos que dependem do trem para chegar ao trabalho e depois voltar para casa.;0
Esse vestido preto te deixa muito elegante!;0
 Eu estou falando aqui com o meu coração. Eu sei que a Esquerda levanta falsos heróis, para poder dar um símbolo de amor e justiça, mas hoje nós temos o símbolo real de uma pessoa que morreu injustamente por conta da mão do Estado. Que seja feita justiça ao Cleriston, e, se não for feita justiça aqui nessa terra, eu tenho certeza de que os olhos do Senhor não estão fechados para o que está acontecendo. ;0
Imigrantes estão roubando nossos empregos.;1
Roupas pretas são tão versáteis, combinam com tudo.;0
Penteados para cabelo crespo são tão criativos e lindos!;0
O artesanato em barro do Nordeste é reconhecido mundialmente.;0
Pare de agir como um retardado.;1
Deputada Vargas não mostrou comprometimento com as reformas que o país precisa.;0
Ele só não foi, obviamente, condenado até as últimas instâncias por conta de amizades políticas, porque hoje, no Brasil, não existe mais conhecimento jurídico, mas, sim, relacionamento jurídico.;0
 Parabéns à bancada negra e, em particular, à nossa Deputada Benedita da Silva! ;0
Ora, tome vergonha na sua cara! Vai trabalhar, Lula!;0
Entendo seu ponto sobre políticas sociais, mas acredito que abordagens de mercado também são válidas.;0
Embora queira nos deixar inertes, eu quero dizer para todas as pessoas que confiam em mim, que me dão certo apoio, que eu continuo de pé.;0
Entendo sua preocupação com questões socioeconômicas, mas acredito que o empreendedorismo também é chave para a solução.;0
Essa religião é uma seita.;1
Ele é um homossexualzinho.;1
Idosos são um fardo para a sociedade.;1
 Está aí o Luís, Secretário-Geral da Mesa... ;0
Ou você, que, durante o Governo Bolsonaro, fechou o ano em azul, agora está tendo que vir ao Congresso, prezados Deputados Bibo e Osmar Terra, passar pires para ver se consegue pagar o 13º salário?;0
Nisso aí, com certeza, há mais comentários do que discursos feitos em 2 meses, 3 meses por toda a bancada do PT, do PSOL e do PSB juntas.;0
Essa foto é tão expressiva, mostra muitas emoções diferentes.;0
É indignante, é vergonhoso o que nós estamos vendo acontecer em São Paulo!;0
Quem emprega essa pessoa? O Deputado Márcio Jerry, do PCdoB. Não é de hoje que ele emprega essa pessoa, e não é a primeira vez que ele apronta as dele incentivando o terrorismo.;1
É preciso dizer que o Presidente Bolsonaro, do qual o senhor estava junto, levou muitos móveis que estavam no Palácio.;0
 Crendo tratar-se de uma manifestação pacífica, dirigiu-se mais uma vez para exercer o seu direito constitucional e democrático de se manifestar contra uma vertente política ou outra, um governo ou outro, mais um direito fundamental violado. ;0
Enquanto a Sra. Dilma está ganhando 220 mil reais!;0
 É dever das concessionárias investir em infraestrutura para o sistema elétrico ser mais resistente aos fortes temporais, recorrentes em todo o estado de São Paulo. Isso inclui informar a Prefeitura sobre a situação de árvores próximas às linhas de transmissão, fazer uma melhor manutenção dos equipamentos e ampliar o monitoramento para prever e evitar situações caóticas como a que aconteceu. ;0
 Isso não é coincidência, Presidente, porque, ao longo da história, todos os ditadores que atacaram direitos e garantias individuais usaram como escudo a narrativa do direito à democracia, da defesa da democracia. ;0
Meu amigo, em que mundo você vive, por favor?;0
Quando vocês fazem isso, sempre jogam as coisas como se elas fossem verdadeiras.;0
Presidente, trago aqui hoje uma notícia muito importante e positiva. O Governo Federal iniciou a elaboração de um plano para a população em situação de rua no Brasil, através do Ministério dos Direitos Humanos.;0
Baixinhos não são tão atraentes.;1
A maneira como você se dedica à sua saúde e forma física é muito inspiradora.;0
Aquele foi, provavelmente, o melhor discurso desta Casa neste ano.;0
Todas as pessoas pretas se parecem.;1
 Eu, desde o primeiro dia em que entrei nesta Casa, tenho ocupado esta tribuna, quase todas as vezes, para tratar do perigo que é desrespeitarmos direitos e garantias de primeira geração, direitos e garantias individuais, em específico, neste caso, o devido processo legal. ;0
Trata-se de uma pessoa que cortou 720 milhões de reais do combate ao crime organizado, tirando esse dinheiro da segurança pública.;0
Essa foto capta tão bem a sua personalidade!;0
Você faz um ótimo trabalho ao destacar questões importantes que muitas vezes são ignoradas.;0
Acho que você está perdendo um ponto crucial aqui.;0
 Solicito que esta fala seja veiculada nos meios de comunicação desta Casa. ;0
Por gentileza, gostaria que fosse adicionado o meu tempo de Liderança.;0
"O político chega: ""Temos que arranjar uma solução entre os dois Estados"".";0
Na verdade, é tudo farinha do mesmo saco.;0
Esses estrangeirinhos não se adaptam.;1
 Não bastasse, vem de encontro ao que fora acordado. ;0
Ultimamente tenho me interessado por fotografia, é um hobby fascinante.;0
O Deputado Ribeiro está falhando em manter suas promessas sobre o combate à corrupção.;0
Acho que essa perspectiva não leva em conta alguns aspectos importantes.;0
E agora a Esquerda se ausenta até mesmo de verificar isso.;0
 No perfil do Ministro da Justiça, Flávio Dino, não encontramos nenhuma menção a terroristas ou ao Hamas nas redes sociais, especificamente no Twitter. ;0
Pessoas pretas são naturalmente menos inteligentes.;1
Este é o Ministro da Justiça do nosso País: uma pessoa que não é temida pelo crime organizado.;0
"Geralmente, é o general que pede: ""Peça para sair"". No entanto, agora o chefe mandou o general sair.";0
Apreciei a forma como você abordou a política de forma pragmática, mas com empatia.;0
Acho que você está ignorando alguns fatos importantes neste argumento.;0
Se houvesse uma bíblia do PT, ela teria o seguinte versículo: E Lula fez seus Ministros à sua imagem e semelhança. Capiroto, capítulo 13, versículo 171.;0
Até agora, não vi, por exemplo, atuar para verificar, fiscalizar quem são aqueles vagabundos que estavam ateando fogo em 37 ônibus e um trem no Rio de Janeiro.;1
A diversidade cultural do Nordeste é uma fonte de orgulho para o Brasil.;0
 A tempestade, que atingiu o estado de São Paulo, no último dia 3, causou sérios problemas, da capital até cidades como Osasco, Santo André, Suzano, Limeira e Ilhabela. Infelizmente, sete pessoas vieram a óbito, o que lamentamos profundamente. ;0
Você realmente faz a diferença na academia, trazendo tanta energia positiva!;0
Negros são bons em música e esportes, mas não em ciência.;1
Seu cabelo crespo é tão bonito, adoro como você o estiliza!;0
Só que não vai parar aí não. Quem dirige Uber hoje vai ser regulamentado, porque merece direitos trabalhistas.;0
Eles são ricos, então devem ser gananciosos.;1
Seu post sobre feminismo na política é instigante, mas como isso se alinha com a meritocracia?;0
Se havia 53 bilhões de reais, isso não seria suficiente para pagar os enfermeiros?;0
A gastronomia nordestina é uma verdadeira viagem de sabores.;0
Ele não consegue fazer isso, é deficiente.;1
Pessoas do Nordeste são todas preguiçosas.;1
Seus posts sobre política sempre me fazem pensar e questionar, o que é ótimo.;0
Você transmite tanta serenidade nesta foto, é muito bonito.;0
Eu queria ver, se o António Guterres e o Lula tivessem os seus filhos, bebês de 1 ou 2 anos de idade, decapitados, se eles teriam essa mesma opinião.;0
Não confio em pessoas que seguem Evangelicos.;1
Que simboliza a retomada de uma política de combate à fome no nosso País.;0
Essa afirmação pode ser um pouco controversa. Você tem evidências para apoiá-la?;0
Você parece muito confiante nesta foto, admiro isso!;0
 Senhor Presidente, Senhoras e Senhores parlamentares, venho a esta tribuna falar sobre a tragédia ocorrida com o cidadão Cleriston Pereira da Cunha, que sofreu um mal súbito e faleceu na Penitenciária da Papuda nesta segunda-feira última. ;0
 Cleriston da Cunha, nordestino, pai de família, deixa uma viúva desconsolada, duas filhas desesperadas e uma mãe enlutada porque foi atropelado, assassinado por um sistema que reiteradamente usa como desculpa para sua sanha ditatorial a defesa da democracia. ;0
A pessoa, hoje, no Brasil, não tem segurança em lugar nenhum.;0
O Governo Lula está dizendo que vai colocar recorde de recursos na saúde. Será que não dá para pagar os enfermeiros, que já têm uma lei aprovada por este Congresso?;0
Deputada Barbosa parece desconhecer os desafios reais da saúde pública.;0
Deputada Pereira, onde está a ação concreta sobre as políticas ambientais que você prometeu?;0
"Com essa atitude, o Ministro não desrespeita somente este Congresso; ele desrespeita os Deputados que integram a Comissão de Segurança Pública.";0
E peço à Esquerda — PT, PSOL — que consiga também fazer a ajuda humanitária que eles tanto pregam, porque Direita também é gente.;0
Essa arte é espetacular, você é muito talentoso(a)!;0
Eu quero agradecer de coração ao Presidente Lula, que foi comigo, ano passado, comer um baião de dois gostoso numa cozinha solidária na periferia de São Paulo.;0
Jovemzinho assim, ainda não sabe nada da vida.;1
Seu post sobre desafios dos trabalhadores é tocante, mas como isso se alinha com a liberdade de mercado?;0
Direitos LGBTQ+ são importantes, mas devemos também respeitar as diferentes visões culturais e religiosas.;0
Mulheres com cabelos curtos parecem masculinas.;1
Ontem fui a um concerto, e a energia do público era incrível.;0
"Estamos aguardando o ""rei da paz"".";0
Por fim, o povo fica um pouco mais tranquilo porque teve os incríveis 18 reais de aumento no salário mínimo!;0
Acho que você está simplificando demais um problema complexo.;0
Nós temos, talvez, a polícia mais eficiente do mundo nesse combate: a Polícia Rodoviária Federal, que está nas estradas.;0
É preciso que haja punições severas para bandidos e criminosos.;0
Nós queremos que cada um possa fazer a sua comida, na sua casa, do seu jeito, com o seu tempero.;0
Aí, sim, vamos realmente começar a falar com seriedade na solução de dois Estados independentes naquela região.;0
Vocês não estão entendendo a força, que não provém de mim, mas das pessoas que compõem o Brasil.;0
Essa situação tão grave de desigualdade no nosso País hoje tem um dia histórico com a aprovação do Programa de Aquisição de Alimentos.;0
viadinho de merda;1
A Folha de S.Paulo fez uma matéria referindo-se às mulheres como pessoas com vagina.;0
Nós estamos vivendo um problema muito sério nas periferias de São Paulo, na Região Metropolitana de São Paulo, com a ViaMobilidade, que opera as linhas 8 e 9 dos trens metropolitanos.;0
Ele não pode contribuir, ele tem um distúrbio de aprendizagem.;1
Malhar não é só sobre aparência, é sobre se sentir bem, e você está arrasando!;0
 Ainda na semana passada, eu estive no sistema prisional de mulheres na penitenciária feminina da minha cidade, em Campo Grande, onde encontrei uma amiga de longa data que está nas ruas lutando contra esse regime tirânico desde meados de 2012, a minha amiga Soraia Bacciotti. ;0
Homossexuais são delicadinhos demais.;1
Ele responde a duas pessoas: ao Presidente da República e à Bandeira do Brasil.;0
Você tem certeza de que está considerando todos os dados relevantes?;0
Mas nada disso importa! Isso não importa! O que importa mesmo é que o amor venceu.;0
Apoio seu engajamento na luta por direitos iguais, é inspirador ver sua dedicação.;0
Diga-se de passagem, acho que é o primeiro Presidente da democracia que deixa o Governo com mais dinheiro em caixa do que havia quando entrou.;0
O problema é que o Brasil nunca teve uma guerra às drogas.;0
Pediu a cassação do mandato e a condenação da minha pessoa, quer quebrar a nossa imunidade parlamentar, quer quebrar a liberdade que esta Casa sempre teve.;0
Seu senso de humor é o melhor, sempre me faz rir.;0
Lula tem as mãos sujas de sangue por conta disso.;0
Agora, os dados do Censo mostraram que, só na cidade de São Paulo, são 590 mil os imóveis abandonados que estão em situação ilegal, de acordo com o Estatuto da Cidade e o plano diretor.;0
Seus pontos sobre políticas inclusivas são interessantes, mas como isso se equilibra com a eficiência econômica?;0
O lado esquerdo deste plenário está quietinho, está silencioso, não está presente aqui nesta Casa.;0
Você parece estar se divertindo muito, é ótimo ver isso!;0
 Eu voltei agora do velório de um homem que foi preso, e não deveria estar preso, de um homem que está morto, e não deveria estar morto. O nome dele é Cleriston, 46 anos, duas filhas, casado. Vou falar alto e bom som: ele foi morto pela negligência jurídica do Ministro Alexandre de Moraes. ;0
"Está aqui o resultado: fez o ""L"", agora segura.";0
As mulheres são muito emocionais para serem líderes.;1
Você fala bem para um preto.;1
Eu relembro quando o Ministro da Defesa de Israel, Yoav Gallant, disse que cortaria a água e a luz da Faixa de Gaza, porque simplesmente quem fornece a água e a luz para lá é Israel.;0
Só porque eles são de classe baixa, não significa que sejam honestos.;1
Ele veio de um bairro pobre, então deve ser perigoso.;1
"""Ele tem pena de pobre; o Lula tem pena de trabalhador.""";0
Adolescentes são todos irresponsáveis.;1
Afinal de contas, um menino de 12 anos pode decidir se ele é menino ou menina, se ele pode fazer uma intervenção no seu corpo para sempre, mas ele não pode ser responsabilizado caso tire a vida de uma pessoa.;0
 E dali, foi para pior. Conduzidos ao cárcere, a uma prisão multitudinária, por um crime sem ter sequer individualização de conduta, ficaram meses presos e muitos ainda se encontram no cárcere sem sequer ter a individualização da conduta, preceito básico do devido processo legal. ;0
Eles são do Nordeste, então devem gostar de forró.;1
Inclusive, é um Ministro da Justiça que o crime organizado não odeia.;0
"Ele tem que se decidir, porque, se o chamam de ""gordola"", tomam processo, e, se o chamam de magro, propagam fake news.";0
Desapontado com a Deputada Souza por não apoiar a lei de proteção ambiental. Esperávamos mais.;0
 Era o que tinha a dizer. ;0
Você sempre consegue encontrar a luz perfeita para suas fotos, é impressionante.;0
É uma pessoa que chamou de terroristas e de baderneiros as pessoas que invadiram o Congresso Nacional.;0
Você tem uma presença incrível, que é tão evidente em suas fotos.;0
 Essa Corte garantista levou ao cárcere um homem de 46 anos, nordestino e pai de família, que, naquele fatídico dia, trabalhou em seu comércio até meados das 4 horas da tarde. ;0
Não tem mais nada para fazer o senhor, a não ser pedir a condenação de um Parlamentar eleito pelo povo?;0
Discordo fortemente da sua opinião, mas respeito seu direito de expressá-la.;0
Eu não estou pedindo para inocentar quem deve ser punido. Eu estou pedindo esclarecimentos.;0
Não estou de acordo com essa perspectiva, mas acho importante entendermos todos os lados.;0
 E, nesse caldo de destruição da civilização ocidental, da destruição das instituições deste País, da destruição do devido processo legal e dos direitos e garantias fundamentais, estava o indivíduo Clezão, o indivíduo esmagado pelo Estado. ;0
Acho que vou experimentar uma nova receita de lasanha este fim de semana.;0
Inclusive, ele é o Presidente que mais gastou dinheiro em viagens internacionais.;0
Manter um estilo de vida ativo é tão importante, e você está arrasando!;0
Seu sotaque não soa profissional.;1
Ele é um gayzinho.;1
Gordinho assim não consegue correr.;1
 Cleriston foi um dos presos sob a acusação de terrorismo por suposta participação na invasão dos prédios públicos. Ele foi encaminhado para a Papuda no dia 09 de janeiro e enquanto estava detido provisoriamente na penitenciária, recebia remédios controlados para diabete e hipertensão, sendo acompanhado por equipe médica. ;0
Agora, não é que o Ministro da Justiça não tenha um plano para o Brasil. Este é o seu plano para o Brasil.;0
E eu quero ver mais imagens. Quero ver as imagens lá de dentro do Supremo.;0
A literatura de cordel é uma forma de arte fascinante e única do Nordeste.;0
Os direitos dos negros avançaram significativamente, mas ainda há muito a fazer.;0
Você fala bem para uma pessoa negra.;1
 Diversos clientes tentaram contato com as prestadoras do serviço e não conseguiram ser atendidos. Há cidadãos que precisam cuidar de familiares com condições especiais e ficaram desassistidos. Outros necessitam da energia para realizar seu trabalho e foram prejudicados. Muitos perderam alimentos pois não tinham como ligar suas geladeiras. Inadmissível. ;0
Você viu o último episódio daquela série? Estou ansioso para discutir sobre ele.;0
Há algumas semanas, eu vim a esta tribuna e fui à Comissão de Desenvolvimento Urbano para fazer esta denúncia, e a ViaMobilidade fingiu que não era com ela.;0
Então, essa visão de desencarcerar é totalmente nefasta.;0
Essa foto realmente mostra o seu espírito aventureiro.;0
Você tem um brilho único que é tão evidente nesta foto.;0
As praias do Nordeste são algumas das mais bonitas do mundo.;0
Respeito sua posição, mas ela não alinha com a minha experiência pessoal.;0
Teve tom de ironia, contou com sátira, inteligência, uma crítica certeira ao momento atual, um assunto pertinente.;0
Essa camisa preta combina perfeitamente com seu estilo.;0
Estou amando os tutoriais de cuidados com o cabelo crespo disponíveis online.;0
Ele já deixou de ser Presidente, meu amigo.;0
Pessoal, o que está acontecendo com o nosso País?;0
Você tem recomendações de bons livros? Estou procurando algo novo para ler.;0
 Os apagões causados pelo mau tempo muitas vezes são realmente imprevisíveis e não é possível parar a natureza. No entanto, as concessionárias de energia elétrica precisam agir com presteza para efetuar os reparos no menor prazo de tempo e, assim, minimizar os danos à população. Da mesma forma, têm que adotar medidas preventivas para garantir um fornecimento à altura do que cobram dos consumidores. ;0
Fui a uma exposição de arte na semana passada e vi algumas obras incríveis.;0
Essa ideia contradiz algumas das informações que tenho. Podemos discutir mais?;0
Mas, enquanto tivermos a iniquidade de 33 milhões de famintos, quem tem fome tem pressa!;0
Não é natural ser gay/trans.;1
